Plant Species,Antidiabetic,Hypoglycemic,Antihyperglycemic,α-amylase inhibitor,α-glucosidase inhibitor,outcome
Terminalia chebula,0,0,0,2,0,0
Terminalia citrina,5,0,0,0,0,1
Terminalia corticosa,5,0,0,0,0,1
Terminalia glaucescens,5,0,0,0,0,1
Terminalia macroptera,0,0,0,0,1,0
Terminalia sericea,5,0,0,0,0,1
Terminalia superba,5,0,0,0,0,1
Teucrium oliverianum,5,0,0,0,0,1
Teucrium polium,0,4,0,0,0,0
Thymus caramanicus,5,0,0,0,0,1
Thymus satureioides,5,0,0,0,0,1
Tinospora cordifolia,0,4,3,2,0,1
Tinospora crispa,0,4,3,0,0,1
Tinospora malabarica,5,0,0,0,0,1
Tinospora sinensis,5,0,0,0,0,1
Tinospora bakis,5,0,0,0,0,1
Trichosanthes cucumerina,0,4,0,0,0,0
Trichosanthes dioica,5,0,0,0,0,1
Trichosanthes kirilowii,0,4,0,0,0,0
Trichosanthes tricuspidata,0,4,0,0,0,0
Urtica angustifolia,0,4,0,0,0,0
Urtica dioica,0,0,0,2,0,0
Urtica urens,5,0,0,0,0,1
Vaccinium angustifolium,5,0,0,0,0,1
Vaccinium arctostaphylos,0,0,0,2,0,0
Vaccinium bracteatum,5,0,0,0,0,1
Vaccinium myrtillus,5,0,0,0,0,1
Vaccinium ovalifolium,5,0,0,0,0,1
Vaccinium uliginosum,5,0,0,0,0,1
Vaccinium vitis,5,0,0,0,0,1
Withania coagulans,0,0,3,0,0,0
Withania somnifera,0,4,0,0,0,0
Zanthoxylum alatum,5,0,0,0,0,1
Zanthoxylum armatum,5,0,0,0,0,1
Zanthoxylum capense,5,0,0,0,0,1
Zanthoxylum chalybeum,5,0,0,0,0,1
Zanthoxylum humile,5,0,0,0,0,1
Zingiber officinale,0,0,0,2,0,0
Zingiber striolatum,0,4,0,0,0,0
Ziziphus amole,5,0,0,0,0,1
Ziziphus jujuba,0,0,0,0,1,0
Ziziphus lotus,5,0,0,0,0,1
Ziziphus mauritiana,5,0,0,0,0,1
Ziziphus mucronata,5,0,0,0,0,1
Ziziphus nummularia,5,0,0,0,0,1
Ziziphus oxyphylla,5,0,0,0,0,1
Ziziphus spina-christi,0,4,0,0,0,0
Ziziphus xylopyrus,5,0,0,0,0,1
